id,name,group,suggested_departments,suggested_sections,Job Purpose,Job Responsibility,Authority,Accountability,Daily Duties,Weekly Duties,Monthly Duties,Quarterly Duties,Half-Yearly Duties,Annual Duties,Required Competency,Required Training,Applicable ISO Requirements,Applicable SOP/WI,Designation Checklist,KPI,Target,Evidence/Record,Performance Evaluation,Supervisor/Reporting Line
147,Marker Man,CAD / Product / Sample,Fabric Management,CAD; Pattern; Grading; Marker; Sample; Sample Approval; Product Development; Tech Pack; Design,,,,,,,,,,,,,,,,,,,,
148,Sample Manager,CAD / Product / Sample,Fabric Management,CAD; Pattern; Grading; Marker; Sample; Sample Approval; Product Development; Tech Pack; Design,,,,,,,,,,,,,,,,,,,,
149,Sample In-charge,CAD / Product / Sample,Fabric Management,CAD; Pattern; Grading; Marker; Sample; Sample Approval; Product Development; Tech Pack; Design,,,,,,,,,,,,,,,,,,,,
150,Sample Supervisor,CAD / Product / Sample,Fabric Management,CAD; Pattern; Grading; Marker; Sample; Sample Approval; Product Development; Tech Pack; Design,,,,,,,,,,,,,,,,,,,,
151,Senior Sample Man,CAD / Product / Sample,Fabric Management,CAD; Pattern; Grading; Marker; Sample; Sample Approval; Product Development; Tech Pack; Design,,,,,,,,,,,,,,,,,,,,
152,Sample Man,CAD / Product / Sample,Fabric Management,CAD; Pattern; Grading; Marker; Sample; Sample Approval; Product Development; Tech Pack; Design,,,,,,,,,,,,,,,,,,,,
153,Junior Sample Man,CAD / Product / Sample,Fabric Management,CAD; Pattern; Grading; Marker; Sample; Sample Approval; Product Development; Tech Pack; Design,,,,,,,,,,,,,,,,,,,,
154,Procurement Director,Procurement & Supplier,Procurement Management,Procurement; RFQ; Sourcing; Supplier Selection; Supplier Approval; Supplier Evaluation; Supplier Audit; Supplier Development; General Purchase,,,,,,,,,,,,,,,,,,,,
155,Procurement Manager,Procurement & Supplier,Procurement Management,Procurement; RFQ; Sourcing; Supplier Selection; Supplier Approval; Supplier Evaluation; Supplier Audit; Supplier Development; General Purchase,,,,,,,,,,,,,,,,,,,,
156,Senior Procurement Officer,Procurement & Supplier,Procurement Management,Procurement; RFQ; Sourcing; Supplier Selection; Supplier Approval; Supplier Evaluation; Supplier Audit; Supplier Development; General Purchase,,,,,,,,,,,,,,,,,,,,
157,Procurement Officer,Procurement & Supplier,Procurement Management,Procurement; RFQ; Sourcing; Supplier Selection; Supplier Approval; Supplier Evaluation; Supplier Audit; Supplier Development; General Purchase,,,,,,,,,,,,,,,,,,,,
158,Junior Procurement Officer,Procurement & Supplier,Procurement Management,Procurement; RFQ; Sourcing; Supplier Selection; Supplier Approval; Supplier Evaluation; Supplier Audit; Supplier Development; General Purchase,,,,,,,,,,,,,,,,,,,,
159,Procurement Executive,Procurement & Supplier,Procurement Management,Procurement; RFQ; Sourcing; Supplier Selection; Supplier Approval; Supplier Evaluation; Supplier Audit; Supplier Development; General Purchase,,,,,,,,,,,,,,,,,,,,
160,Purchase Manager,Procurement & Supplier,Procurement Management,Procurement; RFQ; Sourcing; Supplier Selection; Supplier Approval; Supplier Evaluation; Supplier Audit; Supplier Development; General Purchase,,,,,,,,,,,,,,,,,,,,
161,Purchase Officer,Procurement & Supplier,Procurement Management,Procurement; RFQ; Sourcing; Supplier Selection; Supplier Approval; Supplier Evaluation; Supplier Audit; Supplier Development; General Purchase,,,,,,,,,,,,,,,,,,,,
162,Purchase Executive,Procurement & Supplier,Procurement Management,Procurement; RFQ; Sourcing; Supplier Selection; Supplier Approval; Supplier Evaluation; Supplier Audit; Supplier Development; General Purchase,,,,,,,,,,,,,,,,,,,,
163,Sourcing Manager,Procurement & Supplier,Procurement Management,Procurement; RFQ; Sourcing; Supplier Selection; Supplier Approval; Supplier Evaluation; Supplier Audit; Supplier Development; General Purchase,,,,,,,,,,,,,,,,,,,,
164,Sourcing Officer,Procurement & Supplier,Procurement Management,Procurement; RFQ; Sourcing; Supplier Selection; Supplier Approval; Supplier Evaluation; Supplier Audit; Supplier Development; General Purchase,,,,,,,,,,,,,,,,,,,,
165,Supplier Development Manager,Procurement & Supplier,Procurement Management,Procurement; RFQ; Sourcing; Supplier Selection; Supplier Approval; Supplier Evaluation; Supplier Audit; Supplier Development; General Purchase,,,,,,,,,,,,,,,,,,,,
166,Supplier Development Officer,Procurement & Supplier,Procurement Management,Procurement; RFQ; Sourcing; Supplier Selection; Supplier Approval; Supplier Evaluation; Supplier Audit; Supplier Development; General Purchase,,,,,,,,,,,,,,,,,,,,
167,Supplier Quality Manager,Procurement & Supplier,Procurement Management,Procurement; RFQ; Sourcing; Supplier Selection; Supplier Approval; Supplier Evaluation; Supplier Audit; Supplier Development; General Purchase,,,,,,,,,,,,,,,,,,,,
168,Supplier Quality Officer,Procurement & Supplier,Procurement Management,Procurement; RFQ; Sourcing; Supplier Selection; Supplier Approval; Supplier Evaluation; Supplier Audit; Supplier Development; General Purchase,,,,,,,,,,,,,,,,,,,,
169,Supplier Auditor,Procurement & Supplier,Procurement Management,Procurement; RFQ; Sourcing; Supplier Selection; Supplier Approval; Supplier Evaluation; Supplier Audit; Supplier Development; General Purchase,,,,,,,,,,,,,,,,,,,,
170,Supplier Evaluation Officer,Procurement & Supplier,Procurement Management,Procurement; RFQ; Sourcing; Supplier Selection; Supplier Approval; Supplier Evaluation; Supplier Audit; Supplier Development; General Purchase,,,,,,,,,,,,,,,,,,,,
171,Fabric Procurement Officer,Procurement & Supplier,Procurement Management,Procurement; RFQ; Sourcing; Supplier Selection; Supplier Approval; Supplier Evaluation; Supplier Audit; Supplier Development; General Purchase,,,,,,,,,,,,,,,,,,,,
172,Accessories Procurement Officer,Procurement & Supplier,Procurement Management,Procurement; RFQ; Sourcing; Supplier Selection; Supplier Approval; Supplier Evaluation; Supplier Audit; Supplier Development; General Purchase,,,,,,,,,,,,,,,,,,,,
173,General Purchase Officer,Procurement & Supplier,Procurement Management,Procurement; RFQ; Sourcing; Supplier Selection; Supplier Approval; Supplier Evaluation; Supplier Audit; Supplier Development; General Purchase,,,,,,,,,,,,,,,,,,,,
174,Fabric Manager,Fabric / Knitting / Dyeing,Fabric Management,Fabric; Fabric Procurement; Fabric Store; Yarn; Knitting; Dyeing; Fabric Inspection,,,,,,,,,,,,,,,,,,,,
175,Fabric In-charge,Fabric / Knitting / Dyeing,Fabric Management,Fabric; Fabric Procurement; Fabric Store; Yarn; Knitting; Dyeing; Fabric Inspection,,,,,,,,,,,,,,,,,,,,
176,Fabric Officer,Fabric / Knitting / Dyeing,Fabric Management,Fabric; Fabric Procurement; Fabric Store; Yarn; Knitting; Dyeing; Fabric Inspection,,,,,,,,,,,,,,,,,,,,
177,Fabric Coordinator,Fabric / Knitting / Dyeing,Fabric Management,Fabric; Fabric Procurement; Fabric Store; Yarn; Knitting; Dyeing; Fabric Inspection,,,,,,,,,,,,,,,,,,,,
178,Fabric Inspector,Fabric / Knitting / Dyeing,Fabric Management,Fabric; Fabric Procurement; Fabric Store; Yarn; Knitting; Dyeing; Fabric Inspection,,,,,,,,,,,,,,,,,,,,
179,Fabric Store Keeper,Fabric / Knitting / Dyeing,Fabric Management,Fabric; Fabric Procurement; Fabric Store; Yarn; Knitting; Dyeing; Fabric Inspection,,,,,,,,,,,,,,,,,,,,
180,Yarn Manager,Fabric / Knitting / Dyeing,Fabric Management,Fabric; Fabric Procurement; Fabric Store; Yarn; Knitting; Dyeing; Fabric Inspection,,,,,,,,,,,,,,,,,,,,
181,Yarn Officer,Fabric / Knitting / Dyeing,Fabric Management,Fabric; Fabric Procurement; Fabric Store; Yarn; Knitting; Dyeing; Fabric Inspection,,,,,,,,,,,,,,,,,,,,
182,Knitting Manager,Fabric / Knitting / Dyeing,Fabric Management,Fabric; Fabric Procurement; Fabric Store; Yarn; Knitting; Dyeing; Fabric Inspection,,,,,,,,,,,,,,,,,,,,
183,Knitting In-charge,Fabric / Knitting / Dyeing,Fabric Management,Fabric; Fabric Procurement; Fabric Store; Yarn; Knitting; Dyeing; Fabric Inspection,,,,,,,,,,,,,,,,,,,,
184,Knitting Supervisor,Fabric / Knitting / Dyeing,Fabric Management,Fabric; Fabric Procurement; Fabric Store; Yarn; Knitting; Dyeing; Fabric Inspection,,,,,,,,,,,,,,,,,,,,
185,Knitting Technician,Fabric / Knitting / Dyeing,Fabric Management,Fabric; Fabric Procurement; Fabric Store; Yarn; Knitting; Dyeing; Fabric Inspection,,,,,,,,,,,,,,,,,,,,
186,Knitting Operator,Fabric / Knitting / Dyeing,Fabric Management,Fabric; Fabric Procurement; Fabric Store; Yarn; Knitting; Dyeing; Fabric Inspection,,,,,,,,,,,,,,,,,,,,
187,Dyeing Manager,Fabric / Knitting / Dyeing,Fabric Management,Fabric; Fabric Procurement; Fabric Store; Yarn; Knitting; Dyeing; Fabric Inspection,,,,,,,,,,,,,,,,,,,,
188,Dyeing Supervisor,Fabric / Knitting / Dyeing,Fabric Management,Fabric; Fabric Procurement; Fabric Store; Yarn; Knitting; Dyeing; Fabric Inspection,,,,,,,,,,,,,,,,,,,,
189,Dyeing Technician,Fabric / Knitting / Dyeing,Fabric Management,Fabric; Fabric Procurement; Fabric Store; Yarn; Knitting; Dyeing; Fabric Inspection,,,,,,,,,,,,,,,,,,,,
190,Dyeing Operator,Fabric / Knitting / Dyeing,Fabric Management,Fabric; Fabric Procurement; Fabric Store; Yarn; Knitting; Dyeing; Fabric Inspection,,,,,,,,,,,,,,,,,,,,
191,Fabric Finishing Supervisor,Fabric / Knitting / Dyeing,Fabric Management,Fabric; Fabric Procurement; Fabric Store; Yarn; Knitting; Dyeing; Fabric Inspection,,,,,,,,,,,,,,,,,,,,
192,Fabric Finishing Operator,Fabric / Knitting / Dyeing,Fabric Management,Fabric; Fabric Procurement; Fabric Store; Yarn; Knitting; Dyeing; Fabric Inspection,,,,,,,,,,,,,,,,,,,,
193,Fabric Lab Technician,Fabric / Knitting / Dyeing,Fabric Management,Fabric; Fabric Procurement; Fabric Store; Yarn; Knitting; Dyeing; Fabric Inspection,,,,,,,,,,,,,,,,,,,,
194,Lab Assistant,Fabric / Knitting / Dyeing,Fabric Management,Fabric; Fabric Procurement; Fabric Store; Yarn; Knitting; Dyeing; Fabric Inspection,,,,,,,,,,,,,,,,,,,,
195,Cutting Manager,Cutting,Production Management,Cutting; Cutting Quality; Fabric Relaxation; Spreading; Numbering; Bundling,,,,,,,,,,,,,,,,,,,,
196,Cutting In-charge,Cutting,Production Management,Cutting; Cutting Quality; Fabric Relaxation; Spreading; Numbering; Bundling,,,,,,,,,,,,,,,,,,,,
197,Cutting Supervisor,Cutting,Production Management,Cutting; Cutting Quality; Fabric Relaxation; Spreading; Numbering; Bundling,,,,,,,,,,,,,,,,,,,,
198,Senior Cutting Supervisor,Cutting,Production Management,Cutting; Cutting Quality; Fabric Relaxation; Spreading; Numbering; Bundling,,,,,,,,,,,,,,,,,,,,
199,Cutting Technician,Cutting,Production Management,Cutting; Cutting Quality; Fabric Relaxation; Spreading; Numbering; Bundling,,,,,,,,,,,,,,,,,,,,
200,Cutting Officer,Cutting,Production Management,Cutting; Cutting Quality; Fabric Relaxation; Spreading; Numbering; Bundling,,,,,,,,,,,,,,,,,,,,
201,Cutting Executive,Cutting,Production Management,Cutting; Cutting Quality; Fabric Relaxation; Spreading; Numbering; Bundling,,,,,,,,,,,,,,,,,,,,
202,CAD Marker,Cutting,Production Management,Cutting; Cutting Quality; Fabric Relaxation; Spreading; Numbering; Bundling,,,,,,,,,,,,,,,,,,,,
203,Marker Man,Cutting,Production Management,Cutting; Cutting Quality; Fabric Relaxation; Spreading; Numbering; Bundling,,,,,,,,,,,,,,,,,,,,
204,Spreading Supervisor,Cutting,Production Management,Cutting; Cutting Quality; Fabric Relaxation; Spreading; Numbering; Bundling,,,,,,,,,,,,,,,,,,,,
205,Spreader,Cutting,Production Management,Cutting; Cutting Quality; Fabric Relaxation; Spreading; Numbering; Bundling,,,,,,,,,,,,,,,,,,,,
206,Lay Man,Cutting,Production Management,Cutting; Cutting Quality; Fabric Relaxation; Spreading; Numbering; Bundling,,,,,,,,,,,,,,,,,,,,
207,Senior Cutter Man,Cutting,Production Management,Cutting; Cutting Quality; Fabric Relaxation; Spreading; Numbering; Bundling,,,,,,,,,,,,,,,,,,,,
208,Cutter Man,Cutting,Production Management,Cutting; Cutting Quality; Fabric Relaxation; Spreading; Numbering; Bundling,,,,,,,,,,,,,,,,,,,,
209,Junior Cutter Man,Cutting,Production Management,Cutting; Cutting Quality; Fabric Relaxation; Spreading; Numbering; Bundling,,,,,,,,,,,,,,,,,,,,
210,Assistant Cutter,Cutting,Production Management,Cutting; Cutting Quality; Fabric Relaxation; Spreading; Numbering; Bundling,,,,,,,,,,,,,,,,,,,,
211,Cutting Helper,Cutting,Production Management,Cutting; Cutting Quality; Fabric Relaxation; Spreading; Numbering; Bundling,,,,,,,,,,,,,,,,,,,,
212,Numbering Man,Cutting,Production Management,Cutting; Cutting Quality; Fabric Relaxation; Spreading; Numbering; Bundling,,,,,,,,,,,,,,,,,,,,
213,Bundle Man,Cutting,Production Management,Cutting; Cutting Quality; Fabric Relaxation; Spreading; Numbering; Bundling,,,,,,,,,,,,,,,,,,,,
214,Junior Bundle Man,Cutting,Production Management,Cutting; Cutting Quality; Fabric Relaxation; Spreading; Numbering; Bundling,,,,,,,,,,,,,,,,,,,,
215,Cutting Quality Inspector,Cutting,Production Management,Cutting; Cutting Quality; Fabric Relaxation; Spreading; Numbering; Bundling,,,,,,,,,,,,,,,,,,,,
216,Production Director,Sewing / Production,Production Management,Sewing; Sewing Quality; Sewing Input; Sewing Production; Hourly Production; WIP Control; Size Set,,,,,,,,,,,,,,,,,,,,
217,Production Manager,Sewing / Production,Production Management,Sewing; Sewing Quality; Sewing Input; Sewing Production; Hourly Production; WIP Control; Size Set,,,,,,,,,,,,,,,,,,,,
218,Senior Production Manager,Sewing / Production,Production Management,Sewing; Sewing Quality; Sewing Input; Sewing Production; Hourly Production; WIP Control; Size Set,,,,,,,,,,,,,,,,,,,,
219,Assistant Production Manager,Sewing / Production,Production Management,Sewing; Sewing Quality; Sewing Input; Sewing Production; Hourly Production; WIP Control; Size Set,,,,,,,,,,,,,,,,,,,,
220,Sewing Manager,Sewing / Production,Production Management,Sewing; Sewing Quality; Sewing Input; Sewing Production; Hourly Production; WIP Control; Size Set,,,,,,,,,,,,,,,,,,,,
221,Sewing In-charge,Sewing / Production,Production Management,Sewing; Sewing Quality; Sewing Input; Sewing Production; Hourly Production; WIP Control; Size Set,,,,,,,,,,,,,,,,,,,,
222,Sewing Supervisor,Sewing / Production,Production Management,Sewing; Sewing Quality; Sewing Input; Sewing Production; Hourly Production; WIP Control; Size Set,,,,,,,,,,,,,,,,,,,,
223,Senior Sewing Supervisor,Sewing / Production,Production Management,Sewing; Sewing Quality; Sewing Input; Sewing Production; Hourly Production; WIP Control; Size Set,,,,,,,,,,,,,,,,,,,,
224,Assistant Supervisor,Sewing / Production,Production Management,Sewing; Sewing Quality; Sewing Input; Sewing Production; Hourly Production; WIP Control; Size Set,,,,,,,,,,,,,,,,,,,,
225,Line Chief,Sewing / Production,Production Management,Sewing; Sewing Quality; Sewing Input; Sewing Production; Hourly Production; WIP Control; Size Set,,,,,,,,,,,,,,,,,,,,
226,Line Supervisor,Sewing / Production,Production Management,Sewing; Sewing Quality; Sewing Input; Sewing Production; Hourly Production; WIP Control; Size Set,,,,,,,,,,,,,,,,,,,,
227,Line Leader,Sewing / Production,Production Management,Sewing; Sewing Quality; Sewing Input; Sewing Production; Hourly Production; WIP Control; Size Set,,,,,,,,,,,,,,,,,,,,
228,Production Coordinator,Sewing / Production,Production Management,Sewing; Sewing Quality; Sewing Input; Sewing Production; Hourly Production; WIP Control; Size Set,,,,,,,,,,,,,,,,,,,,
229,Production Reporter,Sewing / Production,Production Management,Sewing; Sewing Quality; Sewing Input; Sewing Production; Hourly Production; WIP Control; Size Set,,,,,,,,,,,,,,,,,,,,
230,Input Supervisor,Sewing / Production,Production Management,Sewing; Sewing Quality; Sewing Input; Sewing Production; Hourly Production; WIP Control; Size Set,,,,,,,,,,,,,,,,,,,,
231,Input Man,Sewing / Production,Production Management,Sewing; Sewing Quality; Sewing Input; Sewing Production; Hourly Production; WIP Control; Size Set,,,,,,,,,,,,,,,,,,,,
232,Output Supervisor,Sewing / Production,Production Management,Sewing; Sewing Quality; Sewing Input; Sewing Production; Hourly Production; WIP Control; Size Set,,,,,,,,,,,,,,,,,,,,
233,Output Man,Sewing / Production,Production Management,Sewing; Sewing Quality; Sewing Input; Sewing Production; Hourly Production; WIP Control; Size Set,,,,,,,,,,,,,,,,,,,,
234,Bundle Man,Sewing / Production,Production Management,Sewing; Sewing Quality; Sewing Input; Sewing Production; Hourly Production; WIP Control; Size Set,,,,,,,,,,,,,,,,,,,,
235,Junior Bundle Man,Sewing / Production,Production Management,Sewing; Sewing Quality; Sewing Input; Sewing Production; Hourly Production; WIP Control; Size Set,,,,,,,,,,,,,,,,,,,,
236,Sewing Technician,Sewing / Production,Production Management,Sewing; Sewing Quality; Sewing Input; Sewing Production; Hourly Production; WIP Control; Size Set,,,,,,,,,,,,,,,,,,,,
237,Machine Technician,Sewing / Production,Production Management,Sewing; Sewing Quality; Sewing Input; Sewing Production; Hourly Production; WIP Control; Size Set,,,,,,,,,,,,,,,,,,,,
238,Operator,Sewing / Production,Production Management,Sewing; Sewing Quality; Sewing Input; Sewing Production; Hourly Production; WIP Control; Size Set,,,,,,,,,,,,,,,,,,,,
239,Senior Operator,Sewing / Production,Production Management,Sewing; Sewing Quality; Sewing Input; Sewing Production; Hourly Production; WIP Control; Size Set,,,,,,,,,,,,,,,,,,,,
240,Junior Operator,Sewing / Production,Production Management,Sewing; Sewing Quality; Sewing Input; Sewing Production; Hourly Production; WIP Control; Size Set,,,,,,,,,,,,,,,,,,,,
241,Trainee Operator,Sewing / Production,Production Management,Sewing; Sewing Quality; Sewing Input; Sewing Production; Hourly Production; WIP Control; Size Set,,,,,,,,,,,,,,,,,,,,
242,Helper,Sewing / Production,Production Management,Sewing; Sewing Quality; Sewing Input; Sewing Production; Hourly Production; WIP Control; Size Set,,,,,,,,,,,,,,,,,,,,
243,Sewing Helper,Sewing / Production,Production Management,Sewing; Sewing Quality; Sewing Input; Sewing Production; Hourly Production; WIP Control; Size Set,,,,,,,,,,,,,,,,,,,,
244,Machine Operator,Sewing / Production,Production Management,Sewing; Sewing Quality; Sewing Input; Sewing Production; Hourly Production; WIP Control; Size Set,,,,,,,,,,,,,,,,,,,,
245,Special Machine Operator,Sewing / Production,Production Management,Sewing; Sewing Quality; Sewing Input; Sewing Production; Hourly Production; WIP Control; Size Set,,,,,,,,,,,,,,,,,,,,
246,Button Operator,Sewing / Production,Production Management,Sewing; Sewing Quality; Sewing Input; Sewing Production; Hourly Production; WIP Control; Size Set,,,,,,,,,,,,,,,,,,,,
247,Button Supervisor,Sewing / Production,Production Management,Sewing; Sewing Quality; Sewing Input; Sewing Production; Hourly Production; WIP Control; Size Set,,,,,,,,,,,,,,,,,,,,
248,Buttonhole Operator,Sewing / Production,Production Management,Sewing; Sewing Quality; Sewing Input; Sewing Production; Hourly Production; WIP Control; Size Set,,,,,,,,,,,,,,,,,,,,
249,Bartack Operator,Sewing / Production,Production Management,Sewing; Sewing Quality; Sewing Input; Sewing Production; Hourly Production; WIP Control; Size Set,,,,,,,,,,,,,,,,,,,,
250,Flatlock Operator,Sewing / Production,Production Management,Sewing; Sewing Quality; Sewing Input; Sewing Production; Hourly Production; WIP Control; Size Set,,,,,,,,,,,,,,,,,,,,
251,Overlock Operator,Sewing / Production,Production Management,Sewing; Sewing Quality; Sewing Input; Sewing Production; Hourly Production; WIP Control; Size Set,,,,,,,,,,,,,,,,,,,,
252,Coverstitch Operator,Sewing / Production,Production Management,Sewing; Sewing Quality; Sewing Input; Sewing Production; Hourly Production; WIP Control; Size Set,,,,,,,,,,,,,,,,,,,,
253,Kansai Operator,Sewing / Production,Production Management,Sewing; Sewing Quality; Sewing Input; Sewing Production; Hourly Production; WIP Control; Size Set,,,,,,,,,,,,,,,,,,,,
254,Heat Seal Man,Sewing / Production,Production Management,Sewing; Sewing Quality; Sewing Input; Sewing Production; Hourly Production; WIP Control; Size Set,,,,,,,,,,,,,,,,,,,,
255,Heat Seal Supervisor,Sewing / Production,Production Management,Sewing; Sewing Quality; Sewing Input; Sewing Production; Hourly Production; WIP Control; Size Set,,,,,,,,,,,,,,,,,,,,
256,Piping Man,Sewing / Production,Production Management,Sewing; Sewing Quality; Sewing Input; Sewing Production; Hourly Production; WIP Control; Size Set,,,,,,,,,,,,,,,,,,,,
257,Piping M.O,Sewing / Production,Production Management,Sewing; Sewing Quality; Sewing Input; Sewing Production; Hourly Production; WIP Control; Size Set,,,,,,,,,,,,,,,,,,,,
258,Iron Man,Sewing / Production,Production Management,Sewing; Sewing Quality; Sewing Input; Sewing Production; Hourly Production; WIP Control; Size Set,,,,,,,,,,,,,,,,,,,,
259,Iron Supervisor,Sewing / Production,Production Management,Sewing; Sewing Quality; Sewing Input; Sewing Production; Hourly Production; WIP Control; Size Set,,,,,,,,,,,,,,,,,,,,
260,Spot Man,Sewing / Production,Production Management,Sewing; Sewing Quality; Sewing Input; Sewing Production; Hourly Production; WIP Control; Size Set,,,,,,,,,,,,,,,,,,,,
261,Sticker Man,Sewing / Production,Production Management,Sewing; Sewing Quality; Sewing Input; Sewing Production; Hourly Production; WIP Control; Size Set,,,,,,,,,,,,,,,,,,,,
262,Tag Man,Sewing / Production,Production Management,Sewing; Sewing Quality; Sewing Input; Sewing Production; Hourly Production; WIP Control; Size Set,,,,,,,,,,,,,,,,,,,,
263,Numbering Man,Sewing / Production,Production Management,Sewing; Sewing Quality; Sewing Input; Sewing Production; Hourly Production; WIP Control; Size Set,,,,,,,,,,,,,,,,,,,,
264,Finishing Manager,Finishing & Packing,Production Management,Finishing; Finishing Quality; Ironing; Folding; Spot Removal,,,,,,,,,,,,,,,,,,,,
265,Finishing In-charge,Finishing & Packing,Production Management,Finishing; Finishing Quality; Ironing; Folding; Spot Removal,,,,,,,,,,,,,,,,,,,,
266,Finishing Supervisor,Finishing & Packing,Production Management,Finishing; Finishing Quality; Ironing; Folding; Spot Removal,,,,,,,,,,,,,,,,,,,,
267,Senior Finishing Supervisor,Finishing & Packing,Production Management,Finishing; Finishing Quality; Ironing; Folding; Spot Removal,,,,,,,,,,,,,,,,,,,,
268,Finishing Assistant,Finishing & Packing,Production Management,Finishing; Finishing Quality; Ironing; Folding; Spot Removal,,,,,,,,,,,,,,,,,,,,
269,Iron Supervisor,Finishing & Packing,Production Management,Finishing; Finishing Quality; Ironing; Folding; Spot Removal,,,,,,,,,,,,,,,,,,,,
270,Iron Man,Finishing & Packing,Production Management,Finishing; Finishing Quality; Ironing; Folding; Spot Removal,,,,,,,,,,,,,,,,,,,,
271,Folding Supervisor,Finishing & Packing,Production Management,Finishing; Finishing Quality; Ironing; Folding; Spot Removal,,,,,,,,,,,,,,,,,,,,
272,Folder,Finishing & Packing,Production Management,Finishing; Finishing Quality; Ironing; Folding; Spot Removal,,,,,,,,,,,,,,,,,,,,
273,Spot Removal Operator,Finishing & Packing,Production Management,Finishing; Finishing Quality; Ironing; Folding; Spot Removal,,,,,,,,,,,,,,,,,,,,
274,Metal Detector Operator,Finishing & Packing,Production Management,Finishing; Finishing Quality; Ironing; Folding; Spot Removal,,,,,,,,,,,,,,,,,,,,
275,Packing Manager,Finishing & Packing,Production Management,Finishing; Finishing Quality; Ironing; Folding; Spot Removal,,,,,,,,,,,,,,,,,,,,
276,Packing Supervisor,Finishing & Packing,Production Management,Finishing; Finishing Quality; Ironing; Folding; Spot Removal,,,,,,,,,,,,,,,,,,,,
277,Packer,Finishing & Packing,Production Management,Finishing; Finishing Quality; Ironing; Folding; Spot Removal,,,,,,,,,,,,,,,,,,,,
278,Senior Packer,Finishing & Packing,Production Management,Finishing; Finishing Quality; Ironing; Folding; Spot Removal,,,,,,,,,,,,,,,,,,,,
279,Junior Packer,Finishing & Packing,Production Management,Finishing; Finishing Quality; Ironing; Folding; Spot Removal,,,,,,,,,,,,,,,,,,,,
280,Carton Supervisor,Finishing & Packing,Production Management,Finishing; Finishing Quality; Ironing; Folding; Spot Removal,,,,,,,,,,,,,,,,,,,,
281,Carton Checker,Finishing & Packing,Production Management,Finishing; Finishing Quality; Ironing; Folding; Spot Removal,,,,,,,,,,,,,,,,,,,,
282,Finished Goods Supervisor,Finishing & Packing,Production Management,Finishing; Finishing Quality; Ironing; Folding; Spot Removal,,,,,,,,,,,,,,,,,,,,
283,Quality Director,Quality,Quality Assurance / QC Management,Quality; QA Audit; Quality Receive; Sewing Quality; Cutting Quality; Finishing Quality; Store Quality,,,,,,,,,,,,,,,,,,,,
284,QA Manager,Quality,Quality Assurance / QC Management,Quality; QA Audit; Quality Receive; Sewing Quality; Cutting Quality; Finishing Quality; Store Quality,,,,,,,,,,,,,,,,,,,,
285,QA Supervisor,Quality,Quality Assurance / QC Management,Quality; QA Audit; Quality Receive; Sewing Quality; Cutting Quality; Finishing Quality; Store Quality,,,,,,,,,,,,,,,,,,,,
286,Quality Manager,Quality,Quality Assurance / QC Management,Quality; QA Audit; Quality Receive; Sewing Quality; Cutting Quality; Finishing Quality; Store Quality,,,,,,,,,,,,,,,,,,,,
287,Quality In-charge,Quality,Quality Assurance / QC Management,Quality; QA Audit; Quality Receive; Sewing Quality; Cutting Quality; Finishing Quality; Store Quality,,,,,,,,,,,,,,,,,,,,
288,Quality Supervisor,Quality,Quality Assurance / QC Management,Quality; QA Audit; Quality Receive; Sewing Quality; Cutting Quality; Finishing Quality; Store Quality,,,,,,,,,,,,,,,,,,,,
289,Senior Quality Supervisor,Quality,Quality Assurance / QC Management,Quality; QA Audit; Quality Receive; Sewing Quality; Cutting Quality; Finishing Quality; Store Quality,,,,,,,,,,,,,,,,,,,,
290,Quality Inspector,Quality,Quality Assurance / QC Management,Quality; QA Audit; Quality Receive; Sewing Quality; Cutting Quality; Finishing Quality; Store Quality,,,,,,,,,,,,,,,,,,,,
291,Senior Quality Inspector,Quality,Quality Assurance / QC Management,Quality; QA Audit; Quality Receive; Sewing Quality; Cutting Quality; Finishing Quality; Store Quality,,,,,,,,,,,,,,,,,,,,
292,Junior Quality Inspector,Quality,Quality Assurance / QC Management,Quality; QA Audit; Quality Receive; Sewing Quality; Cutting Quality; Finishing Quality; Store Quality,,,,,,,,,,,,,,,,,,,,
293,Inline Inspector,Quality,Quality Assurance / QC Management,Quality; QA Audit; Quality Receive; Sewing Quality; Cutting Quality; Finishing Quality; Store Quality,,,,,,,,,,,,,,,,,,,,
294,End Line Inspector,Quality,Quality Assurance / QC Management,Quality; QA Audit; Quality Receive; Sewing Quality; Cutting Quality; Finishing Quality; Store Quality,,,,,,,,,,,,,,,,,,,,
295,Final Inspector,Quality,Quality Assurance / QC Management,Quality; QA Audit; Quality Receive; Sewing Quality; Cutting Quality; Finishing Quality; Store Quality,,,,,,,,,,,,,,,,,,,,
296,Fabric Inspector,Quality,Quality Assurance / QC Management,Quality; QA Audit; Quality Receive; Sewing Quality; Cutting Quality; Finishing Quality; Store Quality,,,,,,,,,,,,,,,,,,,,
297,Cutting Quality Inspector,Quality,Quality Assurance / QC Management,Quality; QA Audit; Quality Receive; Sewing Quality; Cutting Quality; Finishing Quality; Store Quality,,,,,,,,,,,,,,,,,,,,
298,Sewing Quality Inspector,Quality,Quality Assurance / QC Management,Quality; QA Audit; Quality Receive; Sewing Quality; Cutting Quality; Finishing Quality; Store Quality,,,,,,,,,,,,,,,,,,,,
